L-wrist,R-wrist,L-elbow,R-elbow,L-shoulder,R-shoulder,L-knee,R-knee,L-ankle,R-ankle,L-hip,R-hip,Pose_Label
178.863858,174.5767436,220.6402401,135.6222333,0.444404442,272.8612206,65.78878264,41.23048508,165.6866508,159.0083392,70.64276799,120.4829452,balasana
191.4837636,184.9049332,130.7810715,189.4739687,73.78266112,42.16202922,43.56829629,72.07195136,160.2993472,104.8868231,211.7075288,36.25612997,balasana
180.4439804,171.6188877,201.817936,222.5795023,14.16935344,2.606469534,149.8390373,58.08772269,198.9223366,172.9445322,95.56393348,82.46919058,balasana
97.63150226,176.6301349,221.5603673,104.9650779,121.8818265,122.8038601,38.02665417,49.78084178,173.414929,165.7117834,3.189998319,188.3234241,balasana
106.3386448,194.1619722,214.3506998,220.4887172,134.437756,138.7526298,64.81166749,74.14081609,117.8609041,140.0052353,228.7703846,46.67979153,balasana
148.3170889,164.0303997,170.2479882,164.3296568,203.8089785,197.1790838,303.814423,307.6499547,235.3364844,248.0541651,65.18053566,112.1763727,balasana
150.2738636,138.0504126,158.6078817,213.2246691,60.42484367,20.32202107,45.36175535,46.5104493,107.9397695,119.2666381,247.3978632,64.33304067,balasana
180.3618778,201.0934539,217.9944212,174.6641317,156.5474126,161.2460137,18.42573127,146.0175794,222.2830736,183.2108585,105.0330654,83.48782583,balasana
145.6925608,169.7029663,149.2090303,151.0014114,217.2907724,216.0126022,44.93568469,37.4672198,240.7599414,259.9812385,55.01692301,119.910167,balasana
159.3165162,190.7092543,224.1245602,225.0021364,153.0378301,154.3472644,50.64316457,62.90314201,114.7952858,136.00232,216.94136,31.3239882,balasana
143.0392736,156.5938771,217.3607383,215.3847853,149.0129151,149.0920984,43.29649016,54.31150317,101.081949,108.5254942,263.8654778,82.5550152,balasana
165.3873766,179.4477678,143.3868658,130.9078513,223.2428414,221.766408,46.37029683,41.62618742,251.5410759,253.8455119,85.17116266,90.4098906,balasana
162.6853752,176.0189049,166.1116513,166.6911322,213.2079548,216.1446803,37.58914354,36.89045997,263.2806504,266.7986178,66.39241563,103.1577445,balasana
174.5537976,165.3492023,127.6775268,205.5529426,149.5282392,159.3895355,23.0923177,35.59016086,84.01214546,113.2873061,243.0717859,66.15293773,balasana
173.0114377,156.3624201,236.2745328,153.8977736,155.3812417,119.5133134,198.8157003,139.0226744,186.2428037,162.7114289,73.87456204,101.1071699,balasana
195.4906726,186.9841335,184.8336495,165.2376815,170.0302325,126.9193027,65.37548216,55.32258242,154.0934627,158.8812651,16.1806994,199.859555,balasana
168.5494539,159.7392636,133.3816929,205.6410375,152.8807616,149.7061785,21.32063423,35.21042918,83.48255262,118.2440502,246.3525783,67.98839765,balasana
185.7900932,166.7752991,235.6391452,233.5265735,127.8318906,128.9902646,47.51713873,55.58907539,105.3050335,112.7036098,241.0364869,58.46976212,balasana
161.8159789,188.9838387,182.38498,186.6215597,38.01094247,34.00271127,34.20087843,34.78664402,112.6501202,125.4221471,246.443278,62.80100755,balasana
191.4844228,178.6764114,163.0908681,160.4341571,198.4923554,189.1227043,33.80609745,21.75651779,223.1153175,218.5526028,79.84549505,105.2563921,balasana
128.3628758,183.2018232,136.1795687,127.845678,224.2372254,228.3080805,298.0359006,306.5525052,261.9775612,78.94816197,42.93352162,132.952558,balasana
88.47530188,91.84795606,210.1499442,199.3148094,146.9207836,151.2668372,57.14870477,63.27485007,107.7366395,125.8185591,242.2950206,60.05705611,balasana
153.8505428,192.090652,218.3081829,210.6116051,138.580873,150.5799552,56.29429992,66.92880322,123.0597601,118.0358504,206.9934776,23.82247873,balasana
186.5801155,162.8431037,164.9756582,202.2540055,72.32718995,51.33336543,71.76021979,88.16380653,200.2410978,181.8526707,186.4470213,5.89304661,balasana
205.7713856,215.5468548,204.2380172,203.8578255,133.6546303,124.1303484,58.59678421,65.01803755,86.28022195,118.0145704,239.1290119,57.39154621,balasana
145.6810928,171.6718673,83.27585424,102.2636915,116.0649785,118.3497311,40.8555276,47.68482002,236.7129416,221.6255019,173.1860944,12.65445898,garudasana
192.9000611,174.8485115,88.27682361,92.09006507,133.2737838,129.6493332,35.9302691,39.54370321,153.8789465,153.2916741,165.595548,12.51111384,garudasana
166.7927215,173.4220847,111.3203948,53.76165784,84.353756,33.58960773,107.8738083,49.67261352,205.4553305,198.9274344,26.37977338,169.7312009,garudasana
188.5180005,204.1859334,57.76252624,116.471536,32.32662248,37.61751375,60.24848814,174.7325936,171.4502231,271.1097984,332.8108624,53.00479817,garudasana
126.2879673,213.5513618,99.00154998,92.31341317,79.72547945,248.260529,30.63801967,130.6679769,181.2693964,279.419913,17.53354154,93.80770383,garudasana
183.5506435,206.9458982,29.47137567,111.3337305,80.17185892,65.70347689,225.1543451,330.7622337,99.72437286,215.3549069,254.3405095,10.35919685,garudasana
167.6674308,183.6597468,125.4643493,128.3168798,98.27431925,107.8702161,41.07319519,57.81834188,166.9315041,208.484584,344.9980343,154.811514,garudasana
179.1373179,158.4391355,295.2167009,296.9522637,138.1841168,142.4812698,316.8345028,304.0861975,152.2536162,144.4835944,164.2550475,19.57010112,garudasana
210.4294041,278.171214,307.1645634,123.3281553,115.9440817,88.00447754,271.9658155,344.5029329,93.8190813,183.1355793,122.3112753,13.8126779,garudasana
238.3801289,150.9044752,107.5044466,71.78319709,106.8251858,113.7609475,299.7616458,332.0045926,119.0459763,138.3772881,23.30169596,189.4144673,garudasana
161.9476707,192.0986515,96.24174269,79.12108723,16.43368658,70.64838158,171.3233441,321.7928838,88.67740194,163.6085603,287.924031,7.887885719,garudasana
173.7895078,177.453945,322.9948187,132.3961725,93.32122115,19.40149415,136.3090036,299.0476282,207.060211,216.7086783,324.9184341,18.22936469,garudasana
163.4562828,177.6264933,67.74659823,90.02159505,139.6670592,132.8785069,49.8812454,45.07047455,235.8869711,207.6686505,339.8221061,163.7014537,garudasana
161.0273693,170.9492206,102.289791,244.8696559,288.2976218,94.4270276,175.5723909,306.5765635,98.34727239,169.1035536,303.938748,17.30964008,garudasana
147.2019447,203.0994368,276.2436684,136.1867939,69.01432754,7.636673331,257.0837452,260.6198365,158.3912522,150.1076565,105.5834254,32.04293944,garudasana
106.7258017,157.8851906,135.2074061,119.665347,48.18298679,61.9306274,168.2605537,226.6158246,168.1960097,272.2916679,46.87699837,41.39302769,garudasana
138.390435,198.2021008,156.0093343,212.8728191,277.122173,75.99742831,134.6657186,147.9138103,205.4165959,247.0797423,326.8120824,75.14107342,garudasana
156.3278802,187.8790875,111.5281596,100.4783874,89.18021217,94.07284269,29.41736284,72.97873147,180.9928269,245.898692,9.881620204,148.6392393,garudasana
189.2145244,152.4853879,300.3281807,293.8348146,105.0732259,98.0224315,326.2717929,322.3717191,126.7238625,135.4495728,158.7018402,22.85580293,garudasana
114.8895171,292.9887965,119.0055973,10.6392301,85.09269802,99.5579961,46.27911943,54.84092263,173.5539628,164.4867423,342.1151575,148.6795537,garudasana
213.4502277,163.243814,90.06541223,102.093216,48.43175903,62.85229393,188.9549617,316.921178,96.03162128,179.2135925,300.3308315,19.1627437,garudasana
146.8304181,168.0541804,80.07992948,102.7766282,143.1840825,140.8347515,61.79710125,46.62493616,227.8403986,198.489471,274.5504707,96.27996164,garudasana
223.8834032,202.4480041,104.0121532,114.0661013,118.1907749,103.9589339,328.673042,328.6142814,140.2822023,149.9908581,192.5298969,7.424523517,garudasana
186.0938759,130.2045158,269.0536306,99.81486827,123.0276332,114.3816205,284.6784018,319.8220945,193.3144921,195.9380085,218.1345893,3.311464259,garudasana
125.6302671,235.1267717,118.3925387,118.2248447,32.44288015,49.23284183,181.994538,302.7116264,110.7888996,214.5535333,289.7990134,12.43557109,garudasana
213.3168158,171.970544,197.2375815,122.2784988,28.4703084,2.702621423,264.997673,307.4604097,128.1317976,158.5114977,131.6572563,18.66453936,garudasana
227.0516737,206.0314896,35.26414134,120.1737232,19.31001786,35.5868054,239.0530671,255.650376,159.4330883,163.1580419,85.90575509,21.71121377,garudasana
132.3789464,164.4173366,149.2853353,205.87774,279.6619741,79.43176168,123.4547654,199.9823451,118.1534104,179.4234649,320.425491,24.16215194,garudasana
188.1821485,165.8753196,51.03090163,81.30257386,112.8444878,105.8473825,302.1921984,292.1345612,83.79506882,115.4309326,210.9102048,27.14293436,garudasana
201.9441982,205.4591183,106.7846065,118.1232633,92.83287289,80.63708059,277.8174656,332.3219582,94.67685434,243.7657163,219.1967338,10.38551837,garudasana
170.8169156,183.7317894,61.13600214,78.54032464,122.2514177,122.5408458,24.94150199,52.47794409,226.8760155,241.2472009,10.85240578,155.7706225,garudasana
153.0254363,203.7146344,76.24030236,125.804366,8.65396901,36.62892058,57.73647006,192.1740199,190.8516316,228.7347604,338.1156912,46.58718405,garudasana
201.8931683,165.2118323,91.60876462,83.99048732,134.2086756,133.8445129,37.11198717,41.88493676,162.0393676,151.2772244,159.2914554,20.8433202,garudasana
135.1780737,164.9002959,96.39372665,80.85738244,130.8649152,129.0291599,47.08165488,68.3926914,214.6574382,245.739649,345.9658605,150.6144072,garudasana
169.2740358,221.6204434,339.9508643,153.9795128,119.0751061,83.54925633,215.390051,308.3490249,106.7568251,202.4718056,264.3707961,5.726072828,garudasana
165.5112659,178.2719847,8.307041553,10.05077678,99.0396426,93.2490576,115.0379319,150.9142205,196.8999183,209.0708759,37.94622538,83.53888335,garudasana
138.5767236,219.8253602,24.64615501,50.02500231,89.05577517,36.23549456,234.7570365,317.0485483,113.7374418,177.4179841,256.4485285,8.985832862,garudasana
138.5705896,212.8189155,21.2236444,23.17999387,85.94367129,76.62205617,199.208295,264.7774347,159.650697,179.2403851,283.2789405,4.859821259,garudasana
125.3374628,179.0256505,109.9446,109.77284,109.2911079,104.9815804,52.23754998,41.00306227,190.3830225,164.4045869,26.21962577,163.0146163,garudasana
212.065661,163.2734917,209.9892227,207.6028045,8.709877063,1.364948164,112.9442954,111.4923534,224.7571363,219.4243393,319.0656513,142.6356281,garudasana
245.2762746,192.0406225,102.6065708,87.2993508,126.3008432,126.7355239,306.3253713,304.0992871,155.6195825,144.1579101,107.6382476,72.04844095,garudasana
194.7096268,232.3409467,16.76594748,127.1958857,47.24699873,44.83250306,174.8235011,236.6879297,138.4044366,153.4851361,50.56560141,34.97391361,garudasana
222.367686,185.0890747,249.6498673,117.0884267,129.3035607,115.9569244,274.2423987,328.9520143,110.9270711,208.8471257,215.6994324,2.431085175,garudasana
196.1373042,190.6018002,63.67632354,63.94657174,113.2310516,117.1274194,325.7278752,315.2723518,187.8883494,162.7297862,161.7599828,20.61232843,garudasana
